Model ID,PubMed ID,Author,Year,Journal,Title,Primary Index Condition,Secondary Index Condition,Outcome,Model Sample Size,Cohort Sample Size,Number of Events,Follow-Up Duration,AUROC,Calibration Reported,Covariates,MH
91-001-08,1932933,Tunstall-Pedoe,1991,BMJ,The Dundee coronary risk-disk for management of change in risk factors,Population Sample,N/A,Coronary Artery Disease (CAD),5203,5203,331,Long (> 6 months),,No,"Age, Cholesterol, Smoking, SBP",Adult; Cholesterol/blood; Coronary Disease/blood/etiology/*prevention & control; Female; Humans; Hypertension/complications; Male; Middle Aged; Risk Factors; Smoking/adverse effects; Statistics as Topic/*instrumentation/methods
91-001-09,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Myocardial Infarction (MI),5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, SBP, Total Cholesterol, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-10,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Mortality,5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, SBP, Total Cholesterol, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-11,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Major Adverse Cardiac Events (MACE),5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, SBP, Total Cholesterol, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-12,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Stroke,5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, SBP, Total Cholesterol, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-13,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Major Adverse Cardiac Events (MACE),5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, SBP, Total Cholesterol, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-14,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Mortality,5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, SBP, Total Cholesterol, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-15,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Myocardial Infarction (MI),5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, DBP, Total Cholestero, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-16,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Mortality,5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, DBP, Total Cholestero, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-17,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Major Adverse Cardiac Events (MACE),5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, DBP, Total Cholestero, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-18,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Stroke,5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, DBP, Total Cholestero, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-19,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Major Adverse Cardiac Events (MACE),5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, DBP, Total Cholestero, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-20,1985385,Anderson,1991,American Heart Journal,Cardiovascular disease risk profiles,Population Sample,N/A,Mortality,5573,5573,,Long (> 6 months),,No,"Smoking, Diabetes, Sex, LVH, Age, DBP, Total Cholestero, HDL Cholesterol","Adult; Aged; Cardiovascular Diseases/*epidemiology; Cohort Studies; Coronary Disease/*epidemiology; Female; Humans; Male; Massachusetts/epidemiology; Middle Aged; *Models, Statistical; Prospective Studies; Risk Factors"
91-001-21,1988385,Marik,1991,Heart & Lung,Myocardial infarction prognostic scoring system,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Mortality,200,200,28,Short (< 3 months),,No,"Infarction Location, Killip Class, Maximal ST Segment Elevation",Analysis of Variance; Electrocardiography; Female; Humans; Logistic Models; Male; Middle Aged; Myocardial Infarction/*diagnosis; Prognosis; Risk Factors; Streptokinase/therapeutic use
91-001-22,2001088,Kernan,1991,Annals of Internal Medicine,A prognostic system for transient ischemia or minor stroke,Stroke,Transient Ischemic Attack (TIA)/Minor Stroke,Composite (Non-MACE),142,142,21,Long (> 6 months),,No,"Age, CHD, Diabetes, Hypertension, Stroke","Aged; Carotid Arteries/ultrasonography; Cerebrovascular Disorders/mortality/*physiopathology/ultrasonography; Cohort Studies; Female; Humans; Ischemic Attack, Transient/mortality/*physiopathology/ultrasonography; Male; Middle Aged; Prognosis; Recurrence; Risk Factors; Statistics as Topic"
91-001-23,2003301,Wolf,1991,Stroke,Probability of stroke: a risk profile from the Framingham Study,Population Sample,N/A,Stroke,2372,2372,213,Long (> 6 months),,No,"Age, AF, CVD, Smoking, Diabetes, LVH, SBP, Antihypertensive Medication","Adult; Aged; Aged, 80 and over; Blood Pressure; Cerebrovascular Disorders/*etiology; Female; Follow-Up Studies; Humans; Male; Massachusetts; Middle Aged; Probability; Risk Factors; Sex Characteristics"
91-001-24,2003301,Wolf,1991,Stroke,Probability of stroke: a risk profile from the Framingham Study,Population Sample,N/A,Stroke,3362,3362,259,Long (> 6 months),,No,"Age, AF, CVD, Smoking, Diabetes, LVH, SBP, Antihypertensive Medication","Adult; Aged; Aged, 80 and over; Blood Pressure; Cerebrovascular Disorders/*etiology; Female; Follow-Up Studies; Humans; Male; Massachusetts; Middle Aged; Probability; Risk Factors; Sex Characteristics"
91-001-25,2013140,Mark,1991,Circulation,Identification of acute myocardial infarction patients suitable for early hospital discharge after aggressive interventional therapy. Results from the Thrombolysis and Angioplasty in Acute Myocardial Infarction Registry,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Major Adverse Cardiac Events (MACE),289,289,38,Short (< 3 months),0.802,No,"Hypotension/Shock, LVEF, CAD, VT/VF","*Angioplasty, Balloon, Coronary; Female; Humans; Logistic Models; Male; Middle Aged; Myocardial Infarction/complications/epidemiology/*therapy; *Patient Discharge; Registries; Risk Factors; *Thrombolytic Therapy; Time Factors"
91-001-26,2072767,Selker,1991,Medical Care,"A tool for judging coronary care unit admission appropriateness, valid for both real-time and retrospective use. A time-insensitive predictive instrument (TIPI) for acute cardiac ischemia: a multicenter study",Chest Pain,Acute Coronary Syndrome (ACS),Acute Coronary Syndrome (ACS),3453,3453,1251,NR,0.89,Yes,"Pain, EKG Results, Age, Sex","Adult; Coronary Care Units/*utilization; Coronary Disease/*diagnosis; Emergencies; Female; Health Services Research/methods; Humans; Male; Middle Aged; Models, Statistical; New England; Patient Admission/*statistics & numerical data; Predictive Value of Tests; Probability; Regression Analysis; Retrospective Studies; Time Factors"
91-001-27,2741977,George,1991,American Journal of Medicine,Pre-arrest morbidity and other correlates of survival after in-hospital cardiopulmonary arrest,Cardiac Arrest,N/A,Mortality,140,140,111,Moderate (3-6 months),,No,"AMI, Angina, BUN, Cirrhosis, Coma, NYHA Class, Functional Status, Ventilation, Oliguria, Pneumonia, Cerebrovascular Event, S3 Gallop, Sepsis, SBP","Adult; Age Factors; Aged; Aged, 80 and over; Cardiovascular Diseases/*complications/mortality; Female; Heart Arrest/etiology/*mortality/therapy; Hospitalization; Humans; Life Style; Male; Middle Aged; Prognosis; Prospective Studies; Recurrence; *Resuscitation; Risk Factors"
92-001-01,1315072,Woodhouse,1992,Resuscitation,Prediction of hospital discharge in immediate survivors of ventricular fibrillation or asystole,Cardiac Arrest,N/A,Mortality,112,112,62,Short (< 3 months),0.86,No,"Asystole/VF, Defibrillation Delay, Defibrillation, Intubation, Age, Respiratory State, SBP",Aged; Heart Arrest/*mortality; Humans; Patient Discharge; Prognosis; ROC Curve; *Resuscitation; Risk Factors; Treatment Outcome; Ventricular Fibrillation/*mortality
92-001-02,1315072,Woodhouse,1992,Resuscitation,Prediction of hospital discharge in immediate survivors of ventricular fibrillation or asystole,Cardiac Arrest,N/A,Mortality,112,112,62,Short (< 3 months),0.82,No,"Conscious State, Respiratory State, SBP",Aged; Heart Arrest/*mortality; Humans; Patient Discharge; Prognosis; ROC Curve; *Resuscitation; Risk Factors; Treatment Outcome; Ventricular Fibrillation/*mortality
92-001-03,1433740,Hannan,1992,Journal of the American Medical Association,Percutaneous transluminal coronary angioplasty in New York State. Risk factors and outcomes,Coronary Artery Disease (CAD),Revascularization,Mortality,5827,5827,37,Short (< 3 months),0.884,No,"LVEF, Sex, Hemodynamic Status, Shock","Aged; Angioplasty, Balloon, Coronary/*adverse effects/mortality/statistics & numerical ; Coronary Artery Bypass/statistics & numerical data; Female; Hospital Mortality; Humans; Male; Multivariate Analysis; Myocardial Infarction/mortality; New York; Outcome Assessment (Health Care); Risk Factors; *Treatment Outcome"
92-001-04,1433740,Hannan,1992,Journal of the American Medical Association,Percutaneous transluminal coronary angioplasty in New York State. Risk factors and outcomes,Coronary Artery Disease (CAD),Revascularization,Major Adverse Cardiac Events (MACE),5827,5827,187,Short (< 3 months),0.673,No,"Hemodynamic Status, Previous Angioplasty, Shock, Worst Lesion Attempted","Aged; Angioplasty, Balloon, Coronary/*adverse effects/mortality/statistics & numerical ; Coronary Artery Bypass/statistics & numerical data; Female; Hospital Mortality; Humans; Male; Multivariate Analysis; Myocardial Infarction/mortality; New York; Outcome Assessment (Health Care); Risk Factors; *Treatment Outcome"
92-001-05,1433740,Hannan,1992,Journal of the American Medical Association,Percutaneous transluminal coronary angioplasty in New York State. Risk factors and outcomes,Coronary Artery Disease (CAD),Revascularization,Technical Success,5827,5827,757,diagnosis,0.695,No,"COPD, Previous Angioplasty, Number of Vessels Attempted, Worst Lesion Attempted","Aged; Angioplasty, Balloon, Coronary/*adverse effects/mortality/statistics & numerical ; Coronary Artery Bypass/statistics & numerical data; Female; Hospital Mortality; Humans; Male; Multivariate Analysis; Myocardial Infarction/mortality; New York; Outcome Assessment (Health Care); Risk Factors; *Treatment Outcome"
92-001-06,1470037,Dilger,1992,Methods of Information in Medicine,Simple computer-assisted diagnosis of acute myocardial infarction in patients with acute thoracic pain,Chest Pain,Acute Coronary Syndrome (ACS),Myocardial Infarction (MI),87,87,56,diagnosis,,No,"Cause of Admission, CK, Duration of Pain, Glucose, Leukocytosis, ST Elevation","Adult; Aged; Chest Pain/*etiology; *Diagnosis, Computer-Assisted; Electrocardiography; Female; Humans; Male; Middle Aged; Myocardial Infarction/complications/*diagnosis; Prospective Studies; Sensitivity and Specificity"
92-001-07,1527533,Hankey,1992,"Journal of Neurology, Neurosurgery, and Psychiatry",Transient ischaemic attacks: which patients are at high (and low) risk of serious vascular events?,Stroke,Transient Ischemic Attack (TIA),Major Adverse Cardiac Events (MACE),469,469,118,Long (> 6 months),,Yes,"Age, TIA, LVH, Sex, PVD, Neurological Signs","Aged; Carotid Stenosis/complications/mortality; *Cause of Death; Cerebral Infarction/*mortality; Cohort Studies; Female; Humans; Ischemic Attack, Transient/complications/*mortality; Male; Middle Aged; Myocardial Infarction/mortality; Probability; Prognosis; Proportional Hazards Models; Prospective Studies; Survival Analysis; Vascular Diseases/mortality"
92-001-08,1527533,Hankey,1992,"Journal of Neurology, Neurosurgery, and Psychiatry",Transient ischaemic attacks: which patients are at high (and low) risk of serious vascular events?,Stroke,Transient Ischemic Attack (TIA),Stroke,469,469,63,Long (> 6 months),,Yes,"Age, TIA, LVH, Sex, PVD, Neurological Signs","Aged; Carotid Stenosis/complications/mortality; *Cause of Death; Cerebral Infarction/*mortality; Cohort Studies; Female; Humans; Ischemic Attack, Transient/complications/*mortality; Male; Middle Aged; Myocardial Infarction/mortality; Probability; Prognosis; Proportional Hazards Models; Prospective Studies; Survival Analysis; Vascular Diseases/mortality"
92-001-09,1527533,Hankey,1992,"Journal of Neurology, Neurosurgery, and Psychiatry",Transient ischaemic attacks: which patients are at high (and low) risk of serious vascular events?,Stroke,Transient Ischemic Attack (TIA),Major Adverse Cardiac Events (MACE),469,469,58,Long (> 6 months),,Yes,"Age, TIA, LVH, Sex, PVD, Neurological Signs","Aged; Carotid Stenosis/complications/mortality; *Cause of Death; Cerebral Infarction/*mortality; Cohort Studies; Female; Humans; Ischemic Attack, Transient/complications/*mortality; Male; Middle Aged; Myocardial Infarction/mortality; Probability; Prognosis; Proportional Hazards Models; Prospective Studies; Survival Analysis; Vascular Diseases/mortality"
92-001-10,1533427,Davis,1992,Journal of the American Medical Association,Atrial natriuretic peptide levels in the prediction of congestive heart failure risk in frail elderly,Population Sample,N/A,Congestive Heart Failure (CHF),310,310,46,Long (> 6 months),,No,"ANP, CHF","Acute Disease; Aged; Aged, 80 and over; Atrial Natriuretic Factor/*blood; Cohort Studies; Female; Follow-Up Studies; Heart Failure/blood/*diagnosis/etiology; Humans; Male; Medical Records; Odds Ratio; Physical Examination; Predictive Value of Tests; Prospective Studies; Risk Factors; Sensitivity and Specificity"
92-001-11,1555675,Jivegard,1992,European Journal of Vascular Surgery,Preoperative assessment of the risk for cardiac death following thrombo-embolectomy for acute lower limb ischaemia,Peripheral Vascular Disease (PVD),N/A,Mortality,117,117,19,Short (< 3 months),,No,"Cardiac Decompensation, Hemoglobin, BP, MI, Proximal Ischemia",Aged; Amputation; Cause of Death; Female; Heart Failure/*mortality; Humans; Ischemia/mortality/*surgery; Leg/*blood supply; Male; Myocardial Infarction/*mortality; Postoperative Complications/*mortality; Risk Factors; Thromboembolism/mortality/*surgery
92-001-12,1564774,Higgins,1992,Journal of the American Medical Association,Stratification of morbidity and mortality outcome by preoperative risk factors in coronary artery bypass patients: a clinical severity score,Coronary Artery Disease (CAD),Revascularization,Mortality,5051,5051,126,Short (< 3 months),0.83,Yes,"Age, Hematocrit, Stenosis, Cerebrovascular Disease, COPD, Diabetes, Urgency, Mitral Valve Insufficiency, Prior Vascular Surgery, Reoperation, Creatinine, Left Ventricular Dysfunction, Weight",Aged; Coronary Artery Bypass/*mortality; Female; Hospitals; Humans; Logistic Models; Male; Morbidity; Outcome Assessment (Health Care)/*methods; Regression Analysis; Retrospective Studies; Risk Factors; *Severity of Illness Index; Treatment Outcome; United States
92-001-13,1564774,Higgins,1992,Journal of the American Medical Association,Stratification of morbidity and mortality outcome by preoperative risk factors in coronary artery bypass patients: a clinical severity score,Coronary Artery Disease (CAD),Revascularization,Major Adverse Cardiac Events (MACE),5051,5051,680,Short (< 3 months),0.74,Yes,"Age, Hematocrit, COPD, Urgency, Mitral Valve Insufficiency, Prior Vascular Surgery, Reoperation, Creatinine, Left Ventricular Dysfunction",Aged; Coronary Artery Bypass/*mortality; Female; Hospitals; Humans; Logistic Models; Male; Morbidity; Outcome Assessment (Health Care)/*methods; Regression Analysis; Retrospective Studies; Risk Factors; *Severity of Illness Index; Treatment Outcome; United States
92-001-14,1591830,O'Connor,1992,Circulation,Multivariate prediction of in-hospital mortality associated with coronary artery bypass graft surgery,Coronary Artery Disease (CAD),Revascularization,Mortality,,3055,132,Short (< 3 months),0.74,No,"Age, Albumin, Comorbidities, LVEF, Sex, Left Ventricular End Diastolic Pressure, CABG, Priority",Aged; Comorbidity; Coronary Artery Bypass/*mortality; Female; *Hospital Mortality; Humans; Male; Middle Aged; Multivariate Analysis; New England/epidemiology; Prospective Studies; ROC Curve; Regression Analysis; Risk Factors
92-001-15,1591894,Esdaile,1992,Clinical & Investigative Medicine,Response to initial therapy and new onset as predictors of prognosis in patients hospitalized with congestive heart failure,Congestive Heart Failure (CHF),N/A,Mortality,185,185,17,Short (< 3 months),0.876,No,"Age, Cardiac Severity, Chest Pain, Jugulovenous Distension, New Onset, Response to Treatment",Aged; Chest Pain; Female; Heart/physiopathology; Heart Failure/mortality/pathology/*therapy; Humans; Jugular Veins/pathology; Male; Multivariate Analysis; Predictive Value of Tests; Prognosis; Recurrence
92-001-16,1609179,Hadorn,1992,Statistics in Medicine,Cross-validation performance of mortality prediction models,Coronary Artery Disease (CAD),Acute Coronary Syndrome (ACS),Mortality,1728,2853,,Moderate (3-6 months),0.63,No,"APS Score, Cardiac Function, Comorbidities, BP, Age, CHF, Location","Discriminant Analysis; Health Care Rationing; Humans; Logistic Models; *Models, Statistical; Myocardial Infarction/*mortality; Regression Analysis; Reproducibility of Results; *Survival Analysis"
92-001-17,1623792,Tuman,1992,Chest,Morbidity and duration of ICU stay after cardiac surgery: a model for preoperative risk assessment,Cardiac Surgery,N/A,Composite (Non-MACE),3156,3156,701,NR,,Yes,"Age, Previous MI, Valve Replacement, Cerebrovascular Disease, CHF, CABG, Emergency Surgery, Sex, LV Dysfunction, Multivalve Procedure, Hypertension, Renal Dysfunction, Reoperation",Aged; *Cardiac Surgical Procedures; Coronary Care Units; Female; Humans; *Length of Stay; Logistic Models; Male; Morbidity; Odds Ratio; Postoperative Complications/*epidemiology/mortality; Prognosis; Prospective Studies; Risk Factors; Severity of Illness Index
92-001-18,1736607,Rodriguez,1992,American Journal of Cardiology,Identification of patients at high risk for recurrence of sustained ventricular tachycardia after healing of acute myocardial infarction,Cardiac Arrest,N/A,Arrhythmia,206,206,74,Long (> 6 months),,No,"Solatol, MI to VT/VF Interval, VT/VF","Adult; Aged; Aged, 80 and over; Female; Humans; Male; Middle Aged; Myocardial Infarction/*complications; Predictive Value of Tests; Prognosis; Recurrence; Retrospective Studies; Risk Factors; Sensitivity and Specificity; Tachycardia/*etiology; Time Factors; Ventricular Fibrillation/*etiology"
92-001-19,1739359,Hubbard,1992,Archives of Internal Medicine,Identification of severe coronary artery disease using simple clinical parameters,Coronary Artery Disease (CAD),Stable,Coronary Artery Disease (CAD),680,680,215,,,No,"Age, Diabetes, Sex, Previous MI, Angina",Coronary Angiography; Coronary Disease/*diagnosis/radiography/radionuclide imaging; Electrocardiography; Female; Heart/radionuclide imaging; Humans; Male; Middle Aged; Probability; Risk Factors
93-001-01,8213274,Niskanen,1993,Acta Neurochirurgica,One-year outcome in early aneurysm surgery: prediction of outcome,Stroke,Hemorrhage,Functional Outcome,620,929,128,Long (> 6 months),,No,"Age, Blood in CT, Grade, Intraventricular Bleeding, Vasospasm","Adolescent; Adult; Aged; Aneurysm, Ruptured/mortality/radiography/*surgery; Brain Damage, Chronic/mortality/radiography; Cerebral Angiography; Child; Female; Follow-Up Studies; Humans; Intracranial Aneurysm/mortality/radiography/*surgery; Ischemic Attack, Transient/mortality/radiography/surgery; Male; Middle Aged; Neurologic Examination; Postoperative Complications/mortality/radiography; Subarachnoid Hemorrhage/mortality/radiography/surgery; Survival Rate; Tomography, X-Ray Computed; Treatment Outcome"
93-001-02,8213274,Niskanen,1993,Acta Neurochirurgica,One-year outcome in early aneurysm surgery: prediction of outcome,Stroke,Hemorrhage,Functional Outcome,559,839,128,Long (> 6 months),,No,"Age, Blood in CT, Grade, Time from Bleeding to Operation, Intraventricular Bleeding, Ligation of Major Vessel, Prior Bleeding","Adolescent; Adult; Aged; Aneurysm, Ruptured/mortality/radiography/*surgery; Brain Damage, Chronic/mortality/radiography; Cerebral Angiography; Child; Female; Follow-Up Studies; Humans; Intracranial Aneurysm/mortality/radiography/*surgery; Ischemic Attack, Transient/mortality/radiography/surgery; Male; Middle Aged; Neurologic Examination; Postoperative Complications/mortality/radiography; Subarachnoid Hemorrhage/mortality/radiography/surgery; Survival Rate; Tomography, X-Ray Computed; Treatment Outcome"
